strategy,symbol,timeframe,dir,reason,entryTime,exitTime,holdBars,rMultiple,mfeR,maeR,pnl,fees,session,regime
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-18T05:48:00.000Z,2025-12-18T06:50:59.999Z,20,-0.102052,0.6120,0.3200,-10.2052,17.8305,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-18T10:03:00.000Z,2025-12-18T10:29:59.999Z,8,-1.091063,0.1108,0.8282,-109.1063,20.7031,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-18T12:18:00.000Z,2025-12-18T12:32:59.999Z,4,-1.100513,0.1025,1.5072,-110.0513,23.0614,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-18T20:03:00.000Z,2025-12-18T21:05:59.999Z,20,-0.274424,0.2789,0.8418,-27.4424,6.1782,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-18T23:42:00.000Z,2025-12-19T00:02:59.999Z,6,1.018648,1.3665,0.2459,101.8648,10.1282,LATE,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-19T00:06:00.000Z,2025-12-19T00:41:59.999Z,11,-1.059722,0.4026,0.9197,-105.9722,13.7636,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-19T02:15:00.000Z,2025-12-19T02:35:59.999Z,6,1.125753,1.2218,0.1917,112.5753,7.8798,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-19T05:12:00.000Z,2025-12-19T06:14:59.999Z,20,-0.218190,0.5288,0.5570,-21.8190,13.1035,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-19T07:33:00.000Z,2025-12-19T08:35:59.999Z,20,-0.144171,0.4517,0.7094,-14.4171,8.6478,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-19T09:33:00.000Z,2025-12-19T10:35:59.999Z,20,0.293620,0.8132,0.5454,29.3620,17.0322,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-19T11:24:00.000Z,2025-12-19T11:32:59.999Z,2,-1.072202,0.0160,1.0391,-107.2202,16.5765,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-19T12:03:00.000Z,2025-12-19T12:08:59.999Z,1,1.013884,1.5649,0.2943,101.3884,10.2097,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-19T12:12:00.000Z,2025-12-19T13:14:59.999Z,20,-0.060606,0.6725,0.1250,-6.0606,10.9387,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-19T13:39:00.000Z,2025-12-19T14:14:59.999Z,11,-1.063544,0.5558,1.0174,-106.3544,14.2978,NY,1
